genres,release_year,playtime_forever
Massively Multiplayer,2003.0,5995099.0
Massively Multiplayer,2007.0,117715.0
Massively Multiplayer,2008.0,104087.0
Massively Multiplayer,2009.0,2015448.0
Massively Multiplayer,2010.0,7444500.0
Massively Multiplayer,2011.0,43130381.0
Massively Multiplayer,2012.0,84710197.0
Massively Multiplayer,2013.0,133376377.0
Massively Multiplayer,2014.0,35157587.0
Massively Multiplayer,2015.0,39896433.0
Massively Multiplayer,2016.0,22072513.0
Massively Multiplayer,2017.0,63505161.0
Photo Editing,2006.0,173.0
Photo Editing,2007.0,11058.0
Photo Editing,2012.0,2678.0
Photo Editing,2014.0,61659.0
Photo Editing,2015.0,670.0
Photo Editing,2016.0,38264.0
Racing,1994.0,289.0
Racing,1995.0,31004.0
Racing,1996.0,1202.0
Racing,1997.0,9319.0
Racing,1998.0,15130.0
Racing,1999.0,32.0
Racing,2000.0,3015.0
Racing,2003.0,30957.0
Racing,2004.0,3477.0
Racing,2005.0,215392.0
Racing,2006.0,426125.0
Racing,2007.0,583348.0
Racing,2008.0,1236789.0
Racing,2009.0,2397456.0
Racing,2010.0,2041063.0
Racing,2011.0,1339758.0
Racing,2012.0,995589.0
Racing,2013.0,4724202.0
Racing,2014.0,5515762.0
Racing,2015.0,37414158.0
Racing,2016.0,3616311.0
Racing,2017.0,116167.0
Rpg,1988.0,13962.0
Rpg,1991.0,0.0
Rpg,1992.0,2164.0
Rpg,1994.0,2092.0
Rpg,1996.0,25354.0
Rpg,1997.0,359624.0
Rpg,1998.0,378188.0
Rpg,1999.0,331133.0
Rpg,2000.0,53240.0
Rpg,2001.0,120226.0
Rpg,2002.0,1783174.0
Rpg,2003.0,9030839.0
Rpg,2004.0,72098.0
Rpg,2005.0,3145877.0
Rpg,2006.0,1838437.0
Rpg,2007.0,9462513.0
Rpg,2008.0,10215079.0
Rpg,2009.0,25623919.0
Rpg,2010.0,91460486.0
Rpg,2011.0,227959458.0
Rpg,2012.0,163384641.0
Rpg,2013.0,125094050.0
Rpg,2014.0,78886029.0
Rpg,2015.0,151456441.0
Rpg,2016.0,55799741.0
Rpg,2017.0,67535068.0
Rpg,2018.0,3822.0
Simulation,1987.0,235.0
Simulation,1988.0,1.0
Simulation,1989.0,5084.0
Simulation,1990.0,1926.0
Simulation,1991.0,144.0
Simulation,1992.0,11.0
Simulation,1993.0,65.0
Simulation,1994.0,9351.0
Simulation,1995.0,980.0
Simulation,1996.0,1918.0
Simulation,1997.0,4979.0
Simulation,1998.0,107137.0
Simulation,1999.0,129301.0
Simulation,2000.0,69431.0
Simulation,2001.0,247908.0
Simulation,2002.0,353361.0
Simulation,2003.0,1358139.0
Simulation,2004.0,135928.0
Simulation,2005.0,175020.0
Simulation,2006.0,444536391.0
Simulation,2007.0,1404881.0
Simulation,2008.0,4689182.0
Simulation,2009.0,16287495.0
Simulation,2010.0,41657508.0
Simulation,2011.0,14604010.0
Simulation,2012.0,28987538.0
Simulation,2013.0,109036269.0
Simulation,2014.0,37248152.0
Simulation,2015.0,91732327.0
Simulation,2016.0,35846773.0
Simulation,2017.0,24432495.0
Simulation,2018.0,2203.0
Sin Genero Especificado,1996.0,3368.0
Sin Genero Especificado,2000.0,15467.0
Sin Genero Especificado,2005.0,130.0
Sin Genero Especificado,2006.0,41815.0
Sin Genero Especificado,2007.0,1.0
Sin Genero Especificado,2008.0,2608.0
Sin Genero Especificado,2009.0,1354.0
Sin Genero Especificado,2010.0,1422.0
Sin Genero Especificado,2011.0,220292.0
Sin Genero Especificado,2012.0,168243.0
Sin Genero Especificado,2013.0,112.0
Sin Genero Especificado,2014.0,5798.0
Sin Genero Especificado,2015.0,55513.0
Sin Genero Especificado,2016.0,6042.0
Software Training,2010.0,0.0
Software Training,2013.0,80050.0
Software Training,2014.0,412697.0
Software Training,2015.0,36605.0
Software Training,2016.0,481.0
Software Training,2017.0,9382.0
Sports,1995.0,31004.0
Sports,2005.0,69758.0
Sports,2006.0,11182.0
Sports,2007.0,1308.0
Sports,2008.0,97528.0
Sports,2009.0,249680.0
Sports,2010.0,2376500.0
Sports,2011.0,924685.0
Sports,2012.0,3514560.0
Sports,2013.0,6192179.0
Sports,2014.0,5405097.0
Sports,2015.0,41305040.0
Sports,2016.0,4692080.0
Sports,2017.0,22871.0
Strategy,1988.0,13962.0
Strategy,1990.0,60.0
Strategy,1991.0,0.0
Strategy,1993.0,182863.0
Strategy,1994.0,1169.0
Strategy,1995.0,55227.0
Strategy,1996.0,8468.0
Strategy,1997.0,133571.0
Strategy,1998.0,26109.0
Strategy,1999.0,574941.0
Strategy,2000.0,31052.0
Strategy,2001.0,941295.0
Strategy,2002.0,485452.0
Strategy,2003.0,7333055.0
Strategy,2004.0,3686382.0
Strategy,2005.0,1011928.0
Strategy,2006.0,17226204.0
Strategy,2007.0,3157655.0
Strategy,2008.0,8111475.0
Strategy,2009.0,31772106.0
Strategy,2010.0,140842383.0
Strategy,2011.0,34513058.0
Strategy,2012.0,85571141.0
Strategy,2013.0,145266624.0
Strategy,2014.0,50279612.0
Strategy,2015.0,81985845.0
Strategy,2016.0,31238927.0
Strategy,2017.0,5863943.0
Utilities,2006.0,382929.0
Utilities,2007.0,11058.0
Utilities,2012.0,10338.0
Utilities,2013.0,632742.0
Utilities,2014.0,659064.0
Utilities,2015.0,578466.0
Utilities,2016.0,116165.0
Utilities,2017.0,9403.0
Video Production,2006.0,173.0
Video Production,2007.0,11058.0
Video Production,2012.0,4010.0
Video Production,2013.0,205417.0
Video Production,2014.0,484437.0
Video Production,2015.0,1662650.0
Video Production,2016.0,1380.0
Web Publishing,2005.0,93844.0
Web Publishing,2007.0,11058.0
Web Publishing,2012.0,1930339.0
Web Publishing,2013.0,314963.0
Web Publishing,2014.0,33641.0
Web Publishing,2015.0,348673.0
Web Publishing,2016.0,1.0
Web Publishing,2017.0,9382.0
